Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DUSA,321,0,0.00,0,0.00,44.95,321,0
GMOM,320,0,0.00,0,0.00,30.50,320,0
NJUL,317,0,0.00,0,0.00,62.48,317,0
IYLD,310,104,23.50,0,0.00,20.19,310,0
BWTG,308,0,0.00,60,34.17,35.80,308,0
BUSA,307,0,0.00,20,31.75,33.98,307,0
HELX,305,0,0.00,0,0.00,31.10,305,0
HEEM,301,0,0.00,0,0.00,27.51,301,0
BBEM,300,0,0.00,0,0.00,52.41,100,200
NUDV,300,0,0.00,0,0.00,30.92,300,0
OVF,300,0,0.00,0,0.00,24.77,300,0
PAUG,300,0,0.00,0,0.00,38.78,300,0
PIEQ,300,0,0.00,0,0.00,24.64,300,0
FDEC,295,0,0.00,0,0.00,44.65,295,0
TRTY,294,0,0.00,10,24.20,26.37,294,0
WUGI,292,59,80.00,0,0.00,74.40,292,0
AMZP,289,0,0.00,0,0.00,30.31,289,0
OGIG,286,1,47.85,10,44.85,47.32,286,0
HCRB,274,0,0.00,0,0.00,35.24,274,0
ARKY,272,0,0.00,1,34.00,39.88,272,0
DURA,268,0,0.00,0,0.00,35.06,168,100
GSEE,267,0,0.00,0,0.00,45.00,267,0
XBJA,250,0,0.00,0,0.00,28.64,250,0
GLOV,245,0,0.00,0,0.00,51.76,245,0
PNOV,244,0,0.00,0,0.00,38.19,244,0
KNOV,242,0,0.00,0,0.00,26.29,242,0
GHYG,241,0,0.00,0,0.00,45.00,241,0
TJUL,234,0,0.00,0,0.00,27.74,234,0
TDV,229,0,0.00,10,75.36,77.86,229,0
IBHK,228,0,0.00,0,0.00,25.89,228,0
PMAY,220,0,0.00,0,0.00,35.94,220,0
BALI,218,0,0.00,12,30.54,31.49,218,0
TGLR,213,0,0.00,0,0.00,31.05,213,0
FJUN,210,0,0.00,0,0.00,52.03,210,0
PSMD,206,0,0.00,0,0.00,29.13,206,0
KOCT,204,0,0.00,0,0.00,31.66,110,94
